序号,科目,资料层级,资料类型,规范文件名,目标路径,原文件名,来源路径,SHA256,大小MB
229,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D10-4重积分的应用(删减版).ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D10-4重积分的应用(删减版).ppt,D10-4重积分的应用(删减版).ppt,/Users/jerry/Downloads/复习/高数/D10-4重积分的应用(删减版).ppt,未计算（大小唯一）,1.27
230,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D11-1对弧长的曲线积分.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D11-1对弧长的曲线积分.ppt,D11-1对弧长的曲线积分.ppt,/Users/jerry/Downloads/复习/高数/D11-1对弧长的曲线积分.ppt,未计算（大小唯一）,2.02
231,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D11-2对坐标的曲线积分.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D11-2对坐标的曲线积分.ppt,D11-2对坐标的曲线积分.ppt,/Users/jerry/Downloads/复习/高数/D11-2对坐标的曲线积分.ppt,未计算（大小唯一）,2.39
232,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D11-2对坐标的曲线积分_02.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D11-2对坐标的曲线积分_02.ppt,D11-2对坐标的曲线积分 (1).ppt,/Users/jerry/Downloads/复习/高数/D11-2对坐标的曲线积分 (1).ppt,未计算（大小唯一）,2.40
233,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D11-3格林公式(2)(精简版).ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D11-3格林公式(2)(精简版).ppt,D11-3格林公式(2)(精简版).ppt,/Users/jerry/Downloads/复习/高数/D11-3格林公式(2)(精简版).ppt,未计算（大小唯一）,1.00
234,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D11-3格林公式.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D11-3格林公式.ppt,D11-3格林公式(1).ppt,/Users/jerry/Downloads/复习/高数/D11-3格林公式(1).ppt,未计算（大小唯一）,1.92
235,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D11-4对面积曲面积分(精简版).ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D11-4对面积曲面积分(精简版).ppt,D11-4对面积曲面积分（精简版）.ppt,/Users/jerry/Downloads/复习/高数/D11-4对面积曲面积分（精简版）.ppt,未计算（大小唯一）,1.30
236,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D11-5对坐标曲面积分(精简版).ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D11-5对坐标曲面积分(精简版).ppt,D11-5对坐标曲面积分(精简版).ppt,/Users/jerry/Downloads/复习/高数/D11-5对坐标曲面积分(精简版).ppt,未计算（大小唯一）,2.09
237,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D11-6高斯公式.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D11-6高斯公式.ppt,D11-6高斯公式.ppt,/Users/jerry/Downloads/复习/高数/D11-6高斯公式.ppt,未计算（大小唯一）,1.35
238,高等数学A（二）,原始资料,课件,"高等数学A（二）_课件_D7-1,2,3,4基本概念,可分离,齐次,线性微分方程.ppt","/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D7-1,2,3,4基本概念,可分离,齐次,线性微分方程.ppt","D7-1,2,3，4基本概念，可分离，齐次，线性微分方程.ppt","/Users/jerry/Downloads/复习/高数/D7-1,2,3，4基本概念，可分离，齐次，线性微分方程.ppt",未计算（大小唯一）,1.25
239,高等数学A（二）,原始资料,课件,"高等数学A（二）_课件_D7-6,7,8高阶线性,二阶线性常系数齐次.ppt","/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D7-6,7,8高阶线性,二阶线性常系数齐次.ppt",D7-6，7，8 高阶线性，二阶线性常系数齐次.ppt,/Users/jerry/Downloads/复习/高数/D7-6，7，8 高阶线性，二阶线性常系数齐次.ppt,未计算（大小唯一）,1.28
240,高等数学A（二）,原始资料,课件,"高等数学A（二）_课件_D7-8高阶线性,二阶线性常系数齐次.ppt","/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D7-8高阶线性,二阶线性常系数齐次.ppt",D7-8 高阶线性，二阶线性常系数齐次.ppt,/Users/jerry/Downloads/复习/高数/D7-8 高阶线性，二阶线性常系数齐次.ppt,未计算（大小唯一）,2.45
241,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D8习题课.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D8习题课.ppt,D8习题课.ppt,/Users/jerry/Downloads/复习/高数/D8习题课.ppt,未计算（大小唯一）,1.70
242,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D9-1基本概念.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D9-1基本概念.ppt,D9-1基本概念.ppt,/Users/jerry/Downloads/复习/高数/D9-1基本概念.ppt,未计算（大小唯一）,3.15
243,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D9-2偏导数.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D9-2偏导数.ppt,D9-2偏导数(1).ppt,/Users/jerry/Downloads/复习/高数/D9-2偏导数(1).ppt,未计算（大小唯一）,2.22
244,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D9-3全微分.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D9-3全微分.ppt,D9-3全微分.ppt,/Users/jerry/Downloads/复习/高数/D9-3全微分.ppt,未计算（大小唯一）,1.90
245,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D9-4复合函数求导.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D9-4复合函数求导.ppt,D9-4复合函数求导.ppt,/Users/jerry/Downloads/复习/高数/D9-4复合函数求导.ppt,未计算（大小唯一）,2.15
246,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D9-5隐函数求导.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D9-5隐函数求导.ppt,D9-5隐函数求导.ppt,/Users/jerry/Downloads/复习/高数/D9-5隐函数求导.ppt,未计算（大小唯一）,1.79
247,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D9-6几何中的应用.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D9-6几何中的应用.ppt,D9-6几何中的应用.ppt,/Users/jerry/Downloads/复习/高数/D9-6几何中的应用.ppt,未计算（大小唯一）,2.00
248,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D9-7方向导数与梯度(精简版).ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D9-7方向导数与梯度(精简版).ppt,D9-7方向导数与梯度（精简版）.ppt,/Users/jerry/Downloads/复习/高数/D9-7方向导数与梯度（精简版）.ppt,未计算（大小唯一）,1.28
249,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D9-8极值与最值.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D9-8极值与最值.ppt,D9-8极值与最值.ppt,/Users/jerry/Downloads/复习/高数/D9-8极值与最值.ppt,未计算（大小唯一）,3.26
250,高等数学A（二）,原始资料,课件,"高等数学A（二）_课件_总复习第7,6章.ppt","/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_总复习第7,6章.ppt",总复习第7，6章.ppt,/Users/jerry/Downloads/复习/高数/总复习第7，6章.ppt,未计算（大小唯一）,1.34
251,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_第十一章总结.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_第十一章总结.ppt,第十一章总结.ppt,/Users/jerry/Downloads/复习/高数/第十一章总结.ppt,未计算（大小唯一）,0.50
252,高等数学A（二）,原始资料,题库练习,高等数学A（二）_题库练习_第九章测试.docx,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/03_题库与练习/高等数学A（二）_题库练习_第九章测试.docx,第九章测试.docx,/Users/jerry/Downloads/复习/高数/第九章测试.docx,未计算（大小唯一）,0.04
253,高等数学A（二）,原始资料,题库练习,高等数学A（二）_题库练习_第八章自测.docx,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/03_题库与练习/高等数学A（二）_题库练习_第八章自测.docx,第八章自测.docx,/Users/jerry/Downloads/复习/高数/第八章自测.docx,未计算（大小唯一）,0.03
254,高等数学A（二）,原始资料,题库练习,高等数学A（二）_题库练习_第十章测试.docx,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/03_题库与练习/高等数学A（二）_题库练习_第十章测试.docx,第十章测试.docx,/Users/jerry/Downloads/复习/高数/第十章测试.docx,未计算（大小唯一）,0.05
255,高等数学A（二）,成品复习包,成品复习包,高等数学A（二）_期末复习包.zip,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/00_成品复习包/高等数学A（二）_期末复习包.zip,高等数学A（二）.zip,/Users/jerry/Desktop/期末复习/高等数学A（二）.zip,未计算（大小唯一）,26.60
256,高等数学A（二）,成品复习包,成品复习包,高等数学A（二）_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/00_成品复习包/高等数学A（二）_模拟卷一_含答案解析.pdf,高等数学A（二）_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/高等数学A（二）/高等数学A（二）_模拟卷一_含答案解析.pdf,未计算（大小唯一）,13.26
257,高等数学A（二）,成品复习包,成品复习包,高等数学A（二）_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/00_成品复习包/高等数学A（二）_模拟卷二_含答案解析.pdf,高等数学A（二）_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/高等数学A（二）/高等数学A（二）_模拟卷二_含答案解析.pdf,未计算（大小唯一）,13.26
258,高等数学A（二）,成品复习包,成品复习包,高等数学A（二）_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/00_成品复习包/高等数学A（二）_考前复习知识点讲义.pdf,高等数学A（二）_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/高等数学A（二）/高等数学A（二）_考前复习知识点讲义.pdf,未计算（大小唯一）,0.23
